# timestamp tx ty tz qx qy qz qw
13119.3166591 -10.6068471535 1.85565220773 -11.4323338496 0.0564645650046, 0.32786027391 -0.155628535277 -0.93010706518
13119.3264566 -10.6083244565 1.83807973896 -11.4340171058 0.0567015058038, 0.327835748326 -0.15634212308 -0.929981613748
13119.3366454 -10.6111657945 1.82005310521 -11.4342380491 0.056924778632, 0.327757187597 -0.157072261731 -0.929872625767
13119.3464776 -10.6134897332 1.80217920212 -11.4351010649 0.057158237798, 0.327693525448 -0.157799946382 -0.92975753084
13119.3567175 -10.6151150267 1.78337515917 -11.436777433 0.0574125590223, 0.327668378529 -0.158561816108 -0.929621096066
13119.3664512 -10.6176380352 1.76548880414 -11.4373712935 0.0576469997666, 0.327590421467 -0.159288684906 -0.929509792333
13119.3766506 -10.6197464882 1.74667749343 -11.4384889898 0.0578988961146, 0.32753491132 -0.160050701345 -0.929382791262
13119.3864784 -10.6218962498 1.72867531137 -11.4391848449 0.0581217078373, 0.327476560266 -0.160779038569 -0.929263724844
13119.3966834 -10.6239803424 1.70963849135 -11.4402943235 0.0583698548676, 0.327425628391 -0.16155276926 -0.929131917792
13119.4064487 -10.6262516033 1.69124542977 -11.4410819438 0.0586055074607, 0.327359930224 -0.162301281312 -0.929009776409
13119.4166478 -10.6282208538 1.67177374436 -11.4422682936 0.0588616240656, 0.327309108992 -0.163090241506 -0.928873311872
13119.4264517 -10.6303954673 1.6528798896 -11.4431365404 0.0591062456177, 0.327245128951 -0.16385668974 -0.928745423964
13119.4366878 -10.6327297784 1.63332482473 -11.4437178894 0.0593410226945, 0.327176716644 -0.164646741737 -0.928614823028
13119.4464465 -10.6344431353 1.61422170456 -11.4449582316 0.0595896975293, 0.327131034017 -0.165420150027 -0.928477532575
13119.4566899 -10.6362276776 1.59398896398 -11.4462310856 0.0598511803032, 0.327084583528 -0.166239557364 -0.928330717472
13119.4664464 -10.6378695212 1.57466093927 -11.4474889671 0.0600992086023, 0.327041334355 -0.16702267135 -0.928189354606
13119.4766601 -10.6402767984 1.55430291232 -11.4480981101 0.0603528486792, 0.326962893899 -0.167849735404 -0.928051327241
13119.4864497 -10.6421137003 1.53490964291 -11.4490958014 0.0605732626522, 0.326906999673 -0.168634412874 -0.927914397028
13119.4966524 -10.6437466657 1.51427926781 -11.4503861898 0.0608306116554, 0.326864172756 -0.169471741262 -0.927760086535
